,,,Retention time interpretation (min) ,,ReTime extrapolated (min),,,,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
Compound,Precursor (m/z),Product (m/z),User added*,ReTime extrapolated,Known based on standards (T1),"Manual  (High confidence, T2)","Manual (Low confidence, T3)",,Cer (d18:2/16:1),534.5,Test,,
Cer (d18:2/16:1),534.5,262.3,,,,,,,Cer (d18:2/16:0),536.5,Test,,
Cer (d18:2/16:0),536.5,262.3,,,,,13.98,,Cer (d18:1/16:1),536.5,Train,,14.31
Cer (d18:1/16:1),536.5,264.3,,,14.31,,,,Cer (d18:1/16:0),538.6,Train,,15.05
Cer (d18:1/16:0),538.6,264.3,,,15.05,,,,Cer (d18:0/16:0),540.5,Train,,15.27
Cer (d18:0/16:0),540.5,266.3,,,15.27,,,,Cer (d18:1/17:0),552.7,Test,,
Cer (d18:1/17:0),552.7,264.3,,,,,,,Cer (d18:2/18:1),562.5,Test,,
Cer (d18:2/18:1),562.5,262.3,,,,,14.57,,Cer (d18:2/18:0),564.5,Test,,
Cer (d18:2/18:0),564.5,262.3,,,,,15.29,,Cer (d18:1/18:1),564.5,Train,,15.29
Cer (d18:1/18:1),564.5,264.3,,,15.29,,,,Cer (d18:1/18:0),566.6,Train,,15.70
Cer (d18:1/18:0),566.6,264.3,,,15.70,,,,Cer (d18:0/18:0),568.6,Train,,15.91
Cer (d18:0/18:0),568.6,266.3,,,15.91,,,,Cer (d18:2/20:0),592.6,Test,,
Cer (d18:2/20:0),592.6,262.3,,,,,15.88,,Cer (d18:1/20:1),592.6,Train,,15.07
Cer (d18:1/20:1),592.6,264.3,,,15.07,,,,Cer (d18:1/20:0),594.6,Train,,16.30
Cer (d18:1/20:0),594.6,264.3,,,16.30,,,,Cer (d18:0/20:0),596.6,Train,,16.28
Cer (d18:0/20:0),596.6,266.3,,,16.28,,,,Cer (d18:2/22:0),620.6,Test,,
Cer (d18:2/22:0),620.6,262.3,,,,,16.51,,Cer (d18:1/22:1),620.6,Train,,16.28
Cer (d18:1/22:1),620.6,264.3,,,16.28,,,,Cer (d18:1/22:0),622.6,Train,,16.93
Cer (d18:1/22:0),622.6,264.3,,,16.93,,,,Cer (d18:0/22:0),624.6,Train,,16.93
Cer (d18:0/22:0),624.6,266.3,,,16.93,,,,Cer (d18:2/24:2),644.6,Test,,
Cer (d18:2/24:2),644.6,262.3,,,,,17.57,,Cer (d18:2/24:1),646.6,Train,,16.63
Cer (d18:2/24:1),646.6,262.3,,,,16.63,,,Cer (d18:2/24:0),648.6,Train,,17.20
Cer (d18:2/24:0),648.6,262.3,,,,17.20,,,Cer (d18:1/24:1),648.6,Train,,17.05
Cer (d18:1/24:1),648.6,264.3,,,17.05,,,,Cer (d18:1/24:0),650.7,Train,,17.68
Cer (d18:1/24:0),650.7,264.3,,,17.68,,,,Cer (d18:0/24:1),650.9,Train,,17.29
Cer (d18:0/24:1),650.9,266.3,,,17.29,,,,Cer (d18:0/24:0),652.9,Train,,17.95
Cer (d18:0/24:0),652.9,266.3,,,17.95,,,,,,,,
,,,,,,,,,,,,,
*User to added in RTs of standards used (including internal controls) and peaks they have manually ID with high confidence,,,,,,,,,,,,,